Phase_deg,Time_s,Placeholder
-2.4895117333700808e-17,1755809029.26,0
-7.493688752193441,1755809030.32,0
-14.425985753930737,1755809030.73,0
-21.400304418209174,1755809031.14,0
-28.040949432190587,1755809031.6,0
-35.025664791739025,1755809031.95,0
-41.96444917433793,1755809032.27,0
-0.5258795047904723,1755809038.74,0
-7.27587270724981,1755809039.06,0
-14.344612550979004,1755809039.85,0
-21.04717810621694,1755809040.33,0
-28.088391265131605,1755809040.71,0
-34.92070140314328,1755809041.18,0
-41.97904232993206,1755809041.82,0
-38.28878516141708,1755809042.58,0
