Distance_cm,Azimuth_deg,Elevation_deg
91.7,28.1,10.0
98.0,30.0,10.0
130.0,31.4,12.33
75.0,39.8,11.29
71.7,42.8,12.52
68.0,45.2,12.84
91.0,48.6,13.33
77.7,50.6,11.94
55.0,53.3,12.97
57.3,56.0,12.99
45.3,60.9,13.03
29.3,64.6,13.07
36.7,69.7,13.11
38.0,73.5,13.14
50.7,77.9,12.51
31.7,194.3,10.8
62.3,198.1,12.74
72.0,202.3,13.49
95.7,208.8,15.87
42.3,225.0,14.96
531.3,254.6,21.21
535.0,260.1,22.04
522.0,265.5,22.79
506.0,270.7,23.49
485.3,277.8,24.5
479.3,282.1,25.03
454.3,289.1,25.94
441.7,295.9,26.74
439.3,302.0,27.43
415.7,307.7,28.06
364.3,316.4,28.99
