Phase_deg,Time_s,Placeholder
-2.0230104388987324e-16,1755602150.97,0
-3.30591675008009,1755602151.19,0
-19.817708686985494,1755602152.18,0
-23.23540372401027,1755602152.39,0
-39.3689852817361,1755602152.96,0
-39.383175032899736,1755602153.53,0
-58.943125929788536,1755602153.7,0
-66.64655215642956,1755602154.74,0
-70.31838275673705,1755602155.15,0
-72.8798555538663,1755602155.33,0
-77.37959255087819,1755602155.63,0
-79.03553738491493,1755602155.86,0
-83.7127008501846,1755602155.95,0
-85.80959667945524,1755602156.04,0
-89.01907842717272,1755602156.31,0
-92.66814971478213,1755602156.51,0
-93.86933952264309,1755602156.73,0
-96.29522446603389,1755602156.79,0
-98.59153744862904,1755602156.84,0
-99.49570532383721,1755602156.96,0
-101.51178148721033,1755602157.04,0
-103.46309583752745,1755602157.1,0
-104.00031906228666,1755602157.23,0
-106.05386419561886,1755602157.36,0
-106.55963357575718,1755602157.48,0
-108.57323281544076,1755602157.64,0
-108.22996502781926,1755602157.72,0
-109.99039343624335,1755602157.8,0
-111.08102395232866,1755602157.86,0
-111.50182852303037,1755602157.93,0
-113.95930433917789,1755602158.0,0
-116.60549538184846,1755602158.06,0
-118.47214457363218,1755602158.12,0
-119.73376423912744,1755602158.17,0
-120.68234316608259,1755602158.24,0
-123.24119990369013,1755602158.33,0
-124.5423818256994,1755602158.54,0
-128.19646896868394,1755602158.74,0
-128.46182339517526,1755602158.88,0
-130.28182377391352,1755602158.94,0
-131.06108222211247,1755602159.04,0
-133.0162750738516,1755602159.18,0
-135.08101196706517,1755602159.25,0
-136.43113405567848,1755602159.43,0
-139.4925665522968,1755602159.5,0
-141.48953041265875,1755602159.56,0
-142.90724421786985,1755602159.63,0
-145.20658720655624,1755602159.7,0
-147.35262365166076,1755602159.76,0
-148.421379044681,1755602160.05,0
-150.64260015917594,1755602160.16,0
-152.5450034450568,1755602160.26,0
-154.65155361243015,1755602160.34,0
-156.68192158910762,1755602160.44,0
-158.7604847683925,1755602160.51,0
-160.88244795826876,1755602160.58,0
-161.96755663223811,1755602160.66,0
-162.82374703897483,1755602160.71,0
-163.37850994518183,1755602160.81,0
-167.84248403597292,1755602160.97,0
-170.24308476565395,1755602161.03,0
-171.5781092037623,1755602161.09,0
-174.08928309753037,1755602161.22,0
-178.0269822218787,1755602161.38,0
-180.819507428199,1755602161.46,0
-182.78980301583684,1755602161.61,0
-182.55981988776387,1755602161.67,0
-184.09309886524355,1755602161.74,0
-185.29422760531918,1755602161.74,0
-186.16957971846776,1755602161.74,0
-187.3054939624416,1755602161.81,0
-188.16934892035877,1755602161.81,0
-188.77236370153472,1755602161.81,0
-189.13655560225888,1755602161.81,0
