Phase_deg,Time_s,Placeholder
2.9830720430604386e-16,1755806434.29,0
-6.8351104905033715,1755806435.05,0
-14.26186270176976,1755806435.49,0
-20.18780894784865,1755806436.18,0
-27.423160984090284,1755806436.51,0
-34.3235706684557,1755806437.33,0
-41.869739063134396,1755806437.96,0
-45.582346222945404,1755806438.5,0
-49.97049636648235,1755806438.58,0
-54.38257643036152,1755806439.29,0
-59.352431825221046,1755806439.38,0
-64.71594320352138,1755806440.03,0
-70.86445346962391,1755806444.85,0
-77.53871082444725,1755806446.17,0
-83.84721554043846,1755806447.34,0
-90.30903655075046,1755806448.85,0
-97.41628591364335,1755806451.22,0
-108.08833541435597,1755806451.48,0
-116.51720609649568,1755806452.27,0
-128.93372341648,1755806452.49,0
-136.0944457171753,1755806452.58,0
-144.54152429257883,1755806452.73,0
-158.53020145772635,1755806452.92,0
-177.78873235829616,1755806453.16,0
-181.27500449851888,1755806453.24,0
-183.6574681421087,1755806453.31,0
-186.22599051590817,1755806453.38,0
-188.880258498799,1755806453.46,0
-190.39295181545162,1755806453.51,0
-194.47322322981825,1755806453.61,0
-204.08481694751836,1755806453.71,0
