Phase_deg,Time_s,Placeholder
6.258113607911139e-18,1755679942.82,0
-9.971120187873524,1755679943.62,0
-19.955388665041504,1755679944.1,0
-29.895528201113265,1755679944.52,0
-39.9246767813412,1755679944.98,0
-49.886629091541586,1755679945.37,0
-59.907350510284346,1755679945.69,0
-68.08399233607015,1755679946.22,0
-68.02400514471252,1755679946.5,0
-67.9140285899946,1755679946.57,0
-72.09310680723443,1755679946.69,0
-75.08871695248368,1755679946.88,0
-74.53254418410127,1755679946.99,0
-75.10871851071212,1755679947.06,0
-74.73249743151513,1755679947.15,0
-78.75869225753685,1755679947.26,0
-82.94053098582106,1755679947.35,0
-85.77693842083096,1755679947.5,0
-90.27878251265142,1755679947.69,0
-93.5524878658562,1755679948.03,0
-93.1898322938765,1755679948.17,0
-95.44762114587232,1755679948.27,0
-100.75653407658206,1755679948.35,0
-102.5561965385459,1755679948.5,0
-102.53620019289204,1755679948.6,0
-103.04374300030278,1755679948.66,0
-102.62618376577934,1755679948.72,0
-103.8459655883172,1755679948.79,0
-109.26523590519473,1755679948.89,0
-112.56169495453658,1755679949.01,0
-113.9496901136468,1755679949.22,0
-122.35390334809391,1755679949.63,0
-126.03989769827605,1755679949.7,0
-129.06382622292386,1755679949.92,0
-133.4160466491646,1755679950.09,0
-135.60411447925475,1755679950.21,0
-137.61381931514936,1755679950.39,0
-138.3843426588546,1755679950.51,0
-141.3446517270025,1755679950.68,0
-141.30464710928092,1755679950.77,0
-143.8698362726331,1755679950.85,0
-147.51550010816268,1755679951.01,0
-151.60619887145106,1755679951.16,0
-154.14981967848763,1755679951.38,0
-154.8068108147384,1755679951.49,0
-159.10770878284325,1755679951.6,0
-159.21773273830468,1755679951.71,0
-160.998126296017,1755679951.78,0
-165.5013483176882,1755679951.92,0
-166.63256171481092,1755679952.01,0
-171.03048675920692,1755679952.12,0
-172.6108689673642,1755679952.26,0
-177.0519371691408,1755679952.58,0
-180.8228226340617,1755679952.78,0
-184.70369616161622,1755679953.0,0
-199.0509048907169,1755679954.3,0
-202.12119486876193,1755679956.13,0
-204.7951326391922,1755679956.8,0
-209.1268323322417,1755679956.96,0
-209.90745410645718,1755679957.17,0
-209.81744867849144,1755679957.23,0
-210.86750787080265,1755679957.3,0
-214.73777474513287,1755679957.43,0
-218.5676608787736,1755679957.59,0
-221.45758947874057,1755679957.93,0
-226.25731766524183,1755679958.2,0
-229.3570435218296,1755679958.28,0
-232.57151722196517,1755679958.4,0
-233.6465433590912,1755679958.49,0
-236.3743508371077,1755679958.58,0
-240.02894840027346,1755679958.66,0
-241.93522125436806,1755679958.76,0
-243.01501884092679,1755679958.86,0
-245.15146678814264,1755679959.02,0
-244.99180734793882,1755679959.11,0
-247.60915040643852,1755679959.21,0
-251.43325621225316,1755679959.29,0
-254.21261880444155,1755679959.4,0
-257.4118635995381,1755679959.58,0
-261.33092036981213,1755679959.75,0
-262.78056967301484,1755679959.97,0
-264.5001543112734,1755679960.09,0
-267.59269780840845,1755679960.39,0
-270.1396383367219,1755679961.3,0
-273.2234937942345,1755679961.53,0
-276.4024065376141,1755679962.01,0
-279.47678427973767,1755679962.15,0
-282.11780760929247,1755679962.3,0
-282.888358702447,1755679962.43,0
-286.5113279984198,1755679962.53,0
-287.6035804355598,1755679962.62,0
