Distance_cm,Azimuth_deg,Elevation_deg
55.0,0.0,0
54.3,0.5,0
54.0,1.0,0
54.0,1.5,0
54.0,2.0,0
54.0,2.5,0
54.0,3.0,0
54.0,3.5,0
54.0,4.0,0
54.0,4.5,0
54.0,8.0,0
55.0,11.0,0
55.0,14.5,0
56.0,17.5,0
57.0,21.0,0
58.0,24.0,0
60.0,27.5,0
62.0,31.0,0
65.0,33.5,0
68.0,37.0,0
72.0,40.0,0
75.0,43.0,0
79.0,46.5,0
84.0,49.5,0
82.0,53.0,0
79.0,56.0,0
77.0,59.5,0
75.0,63.0,0
73.0,66.0,0
71.0,69.5,0
70.0,72.5,0
69.0,76.0,0
68.0,79.0,0
68.0,82.5,0
68.0,85.5,0
67.0,89.0,0
68.0,92.5,0
68.0,95.5,0
70.0,98.5,0
71.0,101.0,0
72.0,102.5,0
73.0,105.0,0
74.0,108.0,0
76.0,111.5,0
79.0,114.0,0
80.0,117.0,0
83.0,120.0,0
87.0,123.5,0
91.0,126.5,0
95.0,130.0,0
186.0,133.0,0
248.0,136.5,0
267.0,139.5,0
286.0,143.0,0
309.0,146.0,0
333.0,149.0,0
308.0,152.0,0
65.0,155.0,0
46.0,158.0,0
45.0,161.0,0
46.0,164.0,0
49.0,167.0,0
54.0,170.5,0
54.0,174.0,0
56.0,177.0,0
71.0,180.5,0
110.0,183.5,0
135.0,210.0,0
456.0,220.0,0
260.0,223.0,0
82.0,227.0,0
35.0,230.0,0
32.0,233.5,0
30.0,236.5,0
29.0,240.0,0
30.0,243.0,0
34.0,246.0,0
39.0,248.5,0
42.0,251.0,0
504.0,254.5,0
616.0,257.5,0
611.0,261.0,0
525.0,264.0,0
126.0,267.5,0
567.0,270.5,0
595.0,274.0,0
598.0,277.0,0
601.0,280.5,0
604.0,283.5,0
578.0,287.0,0
554.0,290.0,0
574.0,293.5,0
587.0,296.5,0
638.0,300.0,0
680.0,303.0,0
704.0,306.5,0
726.0,309.5,0
149.0,313.0,0
86.0,316.0,0
79.0,319.5,0
75.0,322.5,0
71.0,326.0,0
68.0,329.5,0
64.0,332.5,0
62.0,336.0,0
60.0,339.0,0
59.0,342.0,0
58.0,345.5,0
57.0,348.5,0
56.0,352.0,0
55.0,355.5,0
55.0,358.5,0
55.0,1.5,2
55.0,4.5,2
56.0,8.0,2
56.0,11.0,2
57.0,14.5,2
59.0,17.5,2
60.0,21.0,2
62.0,24.0,2
64.0,27.5,2
67.0,30.5,2
71.0,34.0,2
75.0,37.0,2
78.0,40.5,2
82.0,43.5,2
84.0,46.5,2
81.0,50.0,2
78.0,53.0,2
76.0,56.5,2
74.0,59.5,2
73.0,63.0,2
71.0,66.5,2
70.0,69.5,2
69.0,73.0,2
68.0,76.5,2
68.0,79.5,2
68.0,83.0,2
69.0,86.0,2
69.0,89.5,2
70.0,92.0,2
71.0,95.0,2
72.0,98.0,2
74.0,101.5,2
76.0,104.5,2
78.0,108.0,2
80.0,111.5,2
83.0,114.5,2
87.0,118.0,2
89.0,121.0,2
96.0,124.5,2
160.0,128.0,2
248.0,131.0,2
262.0,134.0,2
282.0,137.0,2
301.0,140.5,2
324.0,143.5,2
334.0,146.0,2
