Phase_deg,Time_s,Placeholder
5.9658646631497595e-16,1755679942.82,0
9.825603726682516,1755679943.62,0
19.734916478560677,1755679944.1,0
29.500493053356337,1755679944.52,0
39.566246513063035,1755679944.98,0
49.43740057831194,1755679945.37,0
59.29775270748051,1755679945.69,0
68.9563865580409,1755679946.22,0
70.96833881994296,1755679946.22,0
71.86079689305971,1755679946.22,0
71.99231264559364,1755679946.22,0
71.65411143052447,1755679946.22,0
71.06790015640034,1755679946.22,0
70.39150397425567,1755679946.22,0
69.72863646551312,1755679946.22,0
69.14017291168612,1755679946.22,0
68.65519808619113,1755679946.22,0
68.27814796629576,1755679946.22,0
67.99987448719662,1755679946.22,0
67.80430106975761,1755679946.22,0
67.6796207085101,1755679946.22,0
67.58601842442403,1755679946.5,0
67.58061578841209,1755679946.5,0
67.59539050603105,1755679946.5,0
67.57648043679605,1755679946.57,0
