Phase_deg,Time_s,Placeholder
7.4549597836851e-17,1755808361.34,0
6.900097483206869,1755808362.29,0
13.882555192904206,1755808362.84,0
20.754885934229172,1755808363.47,0
27.471825884951848,1755808363.8,0
34.70320024018418,1755808364.73,0
41.45347122839912,1755808365.48,0
44.133683013124504,1755808365.91,0
46.5272094910687,1755808365.95,0
49.64047495098013,1755808366.21,0
52.9752894813974,1755808366.27,0
57.291312895969895,1755808366.63,0
57.68350811507707,1755808366.67,0
62.086867909609886,1755808367.04,0
67.88276533149951,1755808368.27,0
73.78233342201834,1755808368.62,0
79.935719058081,1755808370.1,0
86.70858002213683,1755808374.65,0
94.31564821593811,1755808375.25,0
95.37181787457156,1755808375.3,0
102.24221800144137,1755808376.25,0
103.60016618969993,1755808376.3,0
109.11303539239576,1755808376.64,0
115.97475461187985,1755808377.37,0
116.70171571018331,1755808377.41,0
122.49608255992835,1755808377.76,0
126.18845947398015,1755808377.89,0
127.78157091206552,1755808377.95,0
131.49019547804897,1755808378.11,0
138.46534669623344,1755808378.62,0
144.1856114590564,1755808378.94,0
146.82511277009985,1755808379.03,0
150.2324960859009,1755808379.14,0
153.16924244267886,1755808379.23,0
156.9397220898298,1755808379.33,0
161.0888914762185,1755808379.45,0
163.92953049582945,1755808379.53,0
168.59057621272225,1755808379.65,0
171.879881508228,1755808379.74,0
176.34947791728476,1755808379.84,0
181.17552068893121,1755808379.95,0
185.35951137921452,1755808380.04,0
191.06988276452944,1755808380.15,0
196.05883106867992,1755808380.25,0
201.5452679868309,1755808380.35,0
