Distance_cm,Azimuth_deg,Elevation_deg
70.0,0.0,0
69.3,0.5,0
69.0,1.0,0
69.0,1.5,0
69.0,2.0,0
69.0,2.5,0
69.0,3.0,0
69.0,3.5,0
69.0,4.0,0
66.0,5.0,0
63.0,8.0,0
61.0,11.0,0
59.0,14.5,0
58.0,17.5,0
56.0,20.5,0
55.0,23.5,0
54.0,27.0,0
54.0,30.0,0
54.0,33.0,0
53.0,36.5,0
53.0,39.5,0
53.0,43.0,0
53.0,46.0,0
54.0,49.0,0
55.0,52.5,0
56.0,55.5,0
57.0,59.0,0
58.0,62.0,0
60.0,65.0,0
62.0,68.5,0
64.0,71.5,0
68.0,75.0,0
72.0,78.0,0
75.0,81.5,0
80.0,84.5,0
85.0,88.0,0
93.0,91.0,0
93.0,94.5,0
91.0,97.0,0
89.0,99.5,0
87.0,102.0,0
85.0,105.5,0
84.0,108.5,0
83.0,111.5,0
82.0,115.0,0
82.0,118.0,0
81.0,121.5,0
81.0,124.5,0
81.0,128.0,0
82.0,131.5,0
83.0,134.5,0
84.0,138.0,0
86.0,141.5,0
88.0,144.5,0
90.0,148.0,0
93.0,151.5,0
96.0,154.5,0
100.0,158.0,0
105.0,161.5,0
111.0,164.5,0
200.0,168.0,0
259.0,171.5,0
278.0,174.5,0
296.0,178.0,0
124.0,181.5,0
30.0,185.0,0
23.0,188.0,0
22.0,191.5,0
22.0,194.5,0
21.0,198.0,0
20.0,201.5,0
20.0,205.0,0
19.0,208.0,0
19.0,211.5,0
19.0,214.0,0
18.0,217.5,0
71.0,220.5,0
150.0,254.5,0
758.0,264.5,0
768.0,268.0,0
737.0,271.5,0
708.0,273.5,0
690.0,277.0,0
669.0,280.0,0
650.0,283.5,0
633.0,287.0,0
621.0,290.0,0
612.0,293.5,0
604.0,297.0,0
599.0,300.0,0
595.0,303.5,0
594.0,307.0,0
595.0,310.0,0
598.0,313.5,0
590.0,317.0,0
557.0,320.0,0
531.0,323.0,0
557.0,326.5,0
598.0,330.0,0
659.0,333.0,0
683.0,336.5,0
708.0,340.0,0
737.0,343.0,0
772.0,346.5,0
811.0,350.0,0
228.0,353.0,0
84.0,356.5,0
73.0,360.0,0
65.0,1.0,2
62.0,4.0,2
60.0,7.5,2
59.0,10.5,2
57.0,13.5,2
56.0,17.0,2
55.0,20.0,2
54.0,23.5,2
54.0,26.5,2
53.0,30.0,2
53.0,33.0,2
53.0,36.5,2
53.0,40.0,2
54.0,43.0,2
54.0,46.5,2
55.0,49.5,2
56.0,53.0,2
58.0,56.5,2
59.0,59.5,2
61.0,63.0,2
64.0,66.0,2
67.0,69.5,2
71.0,72.5,2
74.0,75.5,2
77.0,78.0,2
80.0,81.0,2
86.0,83.5,2
94.0,86.5,2
93.0,90.0,2
90.0,93.0,2
88.0,96.5,2
86.0,100.0,2
