Distance_cm,Azimuth_deg,Elevation_deg
56.0,0.0,0
55.3,0.5,0
55.0,1.0,0
55.0,1.5,0
55.0,2.0,0
55.0,2.5,0
55.0,3.0,0
55.0,3.5,0
55.0,4.0,0
55.0,7.0,0
55.0,10.0,0
56.0,13.5,0
57.0,17.0,0
58.0,20.0,0
59.0,23.5,0
61.0,27.0,0
63.0,30.0,0
65.0,33.5,0
69.0,37.0,0
72.0,40.0,0
76.0,43.5,0
81.0,47.0,0
85.0,50.0,0
82.0,53.5,0
79.0,57.0,0
77.0,60.0,0
75.0,63.5,0
73.0,67.0,0
72.0,70.0,0
71.0,73.5,0
70.0,76.5,0
69.0,80.0,0
68.0,83.0,0
68.0,86.5,0
69.0,90.0,0
69.0,93.0,0
70.0,96.5,0
71.0,99.5,0
72.0,101.5,0
73.0,104.0,0
75.0,107.5,0
76.0,110.5,0
78.0,113.5,0
80.0,116.5,0
83.0,118.0,0
85.0,121.0,0
88.0,123.5,0
92.0,126.5,0
97.0,129.5,0
173.0,133.0,0
246.0,136.0,0
265.0,139.0,0
283.0,142.5,0
305.0,145.5,0
332.0,149.0,0
355.0,152.0,0
162.0,155.0,0
53.0,158.5,0
46.0,161.5,0
46.0,165.0,0
46.0,168.0,0
49.0,171.0,0
52.0,174.0,0
53.0,177.5,0
57.0,180.5,0
81.0,184.0,0
134.0,187.0,0
115.0,207.5,0
204.0,211.0,0
536.0,220.5,0
295.0,224.0,0
73.0,227.5,0
35.0,230.5,0
32.0,234.0,0
29.0,236.5,0
28.0,239.5,0
29.0,243.0,0
33.0,246.0,0
39.0,249.5,0
322.0,252.5,0
609.0,256.0,0
617.0,259.0,0
610.0,262.5,0
309.0,265.5,0
319.0,269.0,0
583.0,272.0,0
596.0,275.0,0
598.0,278.0,0
603.0,281.5,0
604.0,285.0,0
566.0,287.5,0
567.0,291.0,0
577.0,294.0,0
593.0,297.5,0
656.0,301.0,0
688.0,304.0,0
713.0,307.5,0
584.0,310.5,0
110.0,314.0,0
83.0,317.5,0
78.0,320.5,0
74.0,324.0,0
70.0,327.5,0
66.0,330.5,0
63.0,334.0,0
61.0,337.0,0
59.0,340.5,0
58.0,343.0,0
57.0,346.5,0
56.0,349.5,0
56.0,353.0,0
55.0,356.5,0
55.0,359.5,0
55.0,0.0,2
55.0,3.5,2
56.0,6.5,2
56.0,10.0,2
57.0,12.5,2
58.0,15.5,2
59.0,18.5,2
60.0,21.5,2
62.0,24.5,2
63.0,26.5,2
65.0,29.0,2
68.0,32.0,2
72.0,35.0,2
75.0,37.5,2
79.0,40.5,2
82.0,43.5,2
85.0,46.5,2
83.0,49.5,2
81.0,51.0,2
79.0,53.0,2
78.0,54.5,2
77.0,56.0,2
76.0,58.0,2
75.0,60.0,2
74.0,61.5,2
73.0,63.5,2
72.0,65.5,2
71.0,67.5,2
70.0,70.0,2
70.0,72.0,2
69.0,74.0,2
68.0,77.0,2
68.0,80.5,2
68.0,83.5,2
69.0,87.0,2
69.0,90.0,2
70.0,93.0,2
71.0,96.0,2
73.0,99.5,2
74.0,102.5,2
76.0,106.0,2
78.0,109.0,2
81.0,112.5,2
84.0,115.5,2
87.0,118.5,2
89.0,122.0,2
98.0,125.0,2
181.0,128.5,2
251.0,131.5,2
266.0,134.5,2
285.0,138.0,2
307.0,141.0,2
333.0,144.0,2
337.0,147.5,2
85.0,150.0,2
40.0,153.5,2
38.0,156.0,2
38.0,158.5,2
38.0,161.0,2
40.0,164.0,2
43.0,167.0,2
45.0,170.5,2
50.0,173.5,2
65.0,177.0,2
114.0,180.5,2
116.0,201.0,2
155.0,204.0,2
626.0,213.5,2
16.0,220.5,2
30.0,226.5,2
31.0,229.0,2
30.0,231.0,2
28.0,233.5,2
27.0,236.0,2
30.0,238.5,2
34.0,241.0,2
48.0,244.5,2
209.0,247.5,2
627.0,251.0,2
618.0,254.0,2
597.0,257.5,2
322.0,260.5,2
309.0,264.0,2
598.0,267.0,2
598.0,270.5,2
599.0,273.5,2
603.0,277.0,2
603.0,280.0,2
564.0,283.5,2
570.0,287.0,2
581.0,290.0,2
600.0,293.0,2
665.0,296.5,2
693.0,300.0,2
716.0,303.0,2
716.0,306.5,2
90.0,309.0,2
88.0,311.0,2
83.0,312.0,2
79.0,315.0,2
75.0,318.5,2
72.0,321.5,2
68.0,324.5,2
65.0,327.0,2
63.0,330.0,2
61.0,333.5,2
59.0,337.0,2
57.0,342.5,2
56.0,344.5,2
56.0,348.5,2
55.0,352.0,2
55.0,355.0,2
55.0,358.5,2
55.0,359.0,2
55.0,359.5,2
55.0,360.0,2
55.0,0.0,4
55.0,0.5,4
55.0,1.0,4
55.0,1.5,4
55.0,5.0,4
55.0,8.5,4
56.0,11.5,4
56.0,15.0,4
57.0,18.5,4
58.0,21.5,4
59.0,25.0,4
61.0,28.0,4
63.0,31.5,4
66.0,35.0,4
70.0,38.0,4
74.0,41.5,4
77.0,44.5,4
82.0,48.0,4
85.0,51.5,4
82.0,53.5,4
80.0,57.0,4
78.0,60.0,4
76.0,63.0,4
74.0,66.0,4
72.0,69.5,4
71.0,73.0,4
70.0,76.0,4
69.0,79.5,4
69.0,82.5,4
69.0,86.0,4
69.0,89.5,4
69.0,92.5,4
70.0,96.0,4
71.0,99.0,4
72.0,102.5,4
73.0,106.0,4
75.0,109.0,4
77.0,112.5,4
79.0,115.5,4
82.0,119.0,4
86.0,122.5,4
90.0,125.5,4
94.0,128.0,4
102.0,131.0,4
215.0,134.5,4
253.0,137.5,4
270.0,140.5,4
288.0,143.5,4
311.0,147.0,4
337.0,150.0,4
319.0,153.5,4
60.0,157.0,4
40.0,160.5,4
39.0,163.5,4
39.0,167.0,4
42.0,170.0,4
45.0,173.5,4
49.0,177.0,4
59.0,180.0,4
120.0,183.5,4
132.0,186.5,4
230.0,190.0,4
641.0,221.0,4
465.0,224.5,4
83.0,228.0,4
34.0,231.0,4
30.0,234.5,4
29.0,238.0,4
28.0,241.0,4
31.0,244.5,4
35.0,247.5,4
39.0,250.5,4
288.0,253.5,4
614.0,256.5,4
619.0,260.0,4
613.0,263.0,4
332.0,266.0,4
391.0,269.0,4
590.0,271.5,4
600.0,275.0,4
603.0,278.0,4
607.0,281.0,4
607.0,284.5,4
577.0,287.5,4
570.0,291.0,4
579.0,294.0,4
591.0,297.0,4
644.0,300.5,4
685.0,303.5,4
710.0,307.0,4
727.0,310.0,4
119.0,313.5,4
84.0,316.5,4
79.0,320.0,4
76.0,323.0,4
72.0,326.0,4
68.0,329.5,4
65.0,332.5,4
62.0,336.0,4
60.0,339.0,4
59.0,342.5,4
58.0,345.5,4
57.0,347.5,4
56.0,351.0,4
56.0,354.0,4
55.0,357.0,4
55.0,1.0,6
55.0,4.0,6
56.0,7.0,6
56.0,10.5,6
57.0,13.5,6
58.0,17.0,6
60.0,20.0,6
61.0,23.0,6
63.0,26.5,6
66.0,29.5,6
69.0,32.5,6
73.0,36.0,6
76.0,39.0,6
80.0,42.0,6
85.0,45.0,6
83.0,48.5,6
80.0,51.5,6
78.0,55.0,6
76.0,58.0,6
74.0,61.5,6
72.0,64.5,6
71.0,67.5,6
70.0,71.0,6
69.0,74.0,6
69.0,77.5,6
68.0,79.5,6
68.0,82.5,6
69.0,84.5,6
69.0,88.0,6
70.0,91.0,6
71.0,94.5,6
72.0,97.5,6
74.0,101.0,6
75.0,104.5,6
78.0,107.5,6
80.0,111.0,6
82.0,114.0,6
86.0,117.5,6
88.0,120.5,6
92.0,124.0,6
101.0,127.0,6
189.0,129.0,6
250.0,132.0,6
263.0,134.5,6
284.0,137.5,6
305.0,141.0,6
331.0,144.0,6
344.0,147.5,6
185.0,151.0,6
41.0,154.0,6
39.0,157.5,6
39.0,160.5,6
42.0,164.0,6
45.0,167.0,6
51.0,170.5,6
60.0,174.0,6
107.0,177.0,6
129.0,180.5,6
134.0,184.0,6
729.0,213.0,6
661.0,216.0,6
660.0,219.5,6
58.0,222.5,6
33.0,226.0,6
31.0,229.0,6
29.0,232.5,6
29.0,236.0,6
32.0,239.0,6
74.0,242.5,6
754.0,245.5,6
645.0,249.0,6
634.0,252.0,6
623.0,255.5,6
615.0,258.5,6
601.0,262.0,6
603.0,265.0,6
604.0,268.5,6
604.0,271.5,6
609.0,275.0,6
587.0,278.5,6
239.0,281.5,6
210.0,285.0,6
540.0,288.0,6
590.0,291.5,6
616.0,294.0,6
667.0,297.0,6
694.0,299.0,6
709.0,302.5,6
556.0,306.0,6
89.0,309.0,6
83.0,312.5,6
79.0,315.5,6
75.0,319.0,6
71.0,322.0,6
68.0,325.5,6
65.0,328.5,6
63.0,331.5,6
61.0,334.0,6
59.0,337.5,6
58.0,341.0,6
57.0,343.0,6
56.0,346.5,6
56.0,349.0,6
55.0,352.0,6
55.0,355.0,6
55.0,358.0,6
55.0,359.0,6
55.0,359.5,6
55.0,360.0,6
55.0,0.0,8
55.0,0.5,8
55.0,1.0,8
55.0,4.5,8
55.0,7.5,8
56.0,10.5,8
56.0,14.0,8
57.0,17.5,8
58.0,20.5,8
59.0,23.5,8
61.0,27.0,8
63.0,30.0,8
65.0,33.0,8
68.0,36.5,8
72.0,39.0,8
75.0,42.0,8
78.0,45.5,8
83.0,48.5,8
85.0,51.5,8
82.0,55.0,8
79.0,58.0,8
77.0,61.5,8
75.0,64.5,8
74.0,68.0,8
72.0,71.0,8
71.0,74.5,8
70.0,78.0,8
69.0,81.0,8
69.0,84.5,8
69.0,87.5,8
69.0,91.0,8
70.0,94.5,8
71.0,97.5,8
72.0,101.0,8
73.0,104.0,8
75.0,107.5,8
77.0,111.0,8
79.0,114.0,8
81.0,117.5,8
84.0,120.5,8
88.0,124.0,8
93.0,127.0,8
98.0,130.5,8
177.0,134.0,8
250.0,137.0,8
269.0,140.5,8
289.0,144.0,8
313.0,147.0,8
340.0,150.5,8
368.0,153.5,8
412.0,157.0,8
377.0,160.5,8
62.0,163.5,8
40.0,167.0,8
37.0,170.0,8
37.0,173.5,8
39.0,177.0,8
47.0,180.0,8
65.0,183.5,8
111.0,186.5,8
59.0,190.0,8
651.0,220.0,8
685.0,223.5,8
721.0,226.5,8
744.0,230.0,8
762.0,240.0,8
724.0,243.0,8
696.0,246.5,8
673.0,250.0,8
657.0,253.0,8
644.0,256.5,8
633.0,259.5,8
623.0,263.0,8
617.0,266.0,8
612.0,269.5,8
610.0,273.0,8
609.0,276.0,8
611.0,279.5,8
616.0,283.0,8
608.0,286.0,8
575.0,289.5,8
581.0,292.5,8
593.0,296.0,8
626.0,299.0,8
684.0,302.5,8
710.0,305.5,8
738.0,309.0,8
342.0,312.5,8
97.0,315.5,8
82.0,319.0,8
78.0,322.0,8
74.0,325.5,8
70.0,329.0,8
67.0,332.0,8
64.0,335.5,8
62.0,338.5,8
60.0,342.0,8
59.0,345.5,8
58.0,348.5,8
57.0,351.5,8
56.0,355.0,8
56.0,358.0,8
56.0,2.0,10
56.0,5.0,10
57.0,8.5,10
57.0,11.5,10
58.0,15.0,10
60.0,18.5,10
61.0,21.5,10
63.0,25.0,10
66.0,28.0,10
69.0,31.5,10
73.0,34.5,10
76.0,37.5,10
79.0,41.0,10
83.0,43.5,10
86.0,46.5,10
83.0,49.5,10
81.0,51.5,10
78.0,55.0,10
76.0,58.0,10
74.0,61.5,10
73.0,64.5,10
72.0,68.0,10
71.0,71.5,10
70.0,74.5,10
70.0,78.0,10
70.0,81.0,10
70.0,84.5,10
70.0,87.5,10
70.0,90.5,10
71.0,93.5,10
73.0,96.5,10
74.0,100.0,10
76.0,103.5,10
78.0,106.5,10
80.0,110.0,10
82.0,113.0,10
86.0,116.5,10
88.0,120.0,10
92.0,123.0,10
104.0,126.5,10
216.0,130.0,10
258.0,133.0,10
274.0,136.0,10
294.0,139.0,10
318.0,142.5,10
345.0,145.5,10
375.0,149.0,10
419.0,152.5,10
445.0,155.5,10
60.0,159.0,10
39.0,162.0,10
37.0,165.5,10
38.0,169.0,10
43.0,172.0,10
52.0,175.5,10
55.0,178.5,10
59.0,182.0,10
115.0,185.5,10
664.0,215.0,10
693.0,218.5,10
732.0,221.5,10
787.0,231.5,10
759.0,234.5,10
731.0,238.0,10
705.0,241.0,10
685.0,244.0,10
667.0,247.0,10
652.0,250.5,10
640.0,253.5,10
631.0,257.0,10
623.0,260.0,10
618.0,263.0,10
615.0,266.0,10
614.0,269.0,10
615.0,272.5,10
618.0,275.5,10
621.0,279.0,10
600.0,282.0,10
579.0,285.0,10
589.0,288.5,10
602.0,291.5,10
643.0,295.0,10
695.0,298.0,10
709.0,300.5,10
724.0,302.5,10
740.0,305.0,10
610.0,307.5,10
90.0,309.0,10
85.0,312.0,10
80.0,315.0,10
77.0,318.5,10
73.0,321.5,10
70.0,324.5,10
66.0,327.5,10
64.0,331.0,10
62.0,334.0,10
61.0,336.5,10
60.0,338.5,10
59.0,341.0,10
58.0,343.0,10
57.0,345.5,10
57.0,348.5,10
56.0,351.5,10
56.0,354.5,10
56.0,357.5,10
56.0,359.0,10
56.0,359.5,10
56.0,360.0,10
56.0,0.0,12
56.0,0.5,12
56.0,1.0,12
56.0,3.5,12
56.0,6.5,12
56.0,10.0,12
57.0,13.0,12
58.0,16.5,12
59.0,19.5,12
60.0,23.0,12
61.0,26.0,12
63.0,29.5,12
65.0,32.0,12
68.0,35.0,12
71.0,38.5,12
75.0,41.5,12
79.0,45.0,12
83.0,48.0,12
86.0,51.5,12
83.0,54.5,12
80.0,58.0,12
78.0,61.0,12
76.0,64.5,12
74.0,67.5,12
73.0,71.0,12
72.0,74.0,12
71.0,77.5,12
70.0,80.5,12
70.0,84.0,12
70.0,87.0,12
70.0,90.0,12
71.0,93.5,12
71.0,96.5,12
72.0,100.0,12
73.0,103.0,12
75.0,106.5,12
77.0,109.5,12
79.0,113.0,12
81.0,116.0,12
84.0,119.5,12
87.0,122.5,12
91.0,126.0,12
96.0,129.0,12
112.0,132.5,12
236.0,135.5,12
262.0,139.0,12
282.0,142.0,12
301.0,145.5,12
326.0,148.5,12
352.0,151.5,12
383.0,155.0,12
431.0,158.0,12
484.0,161.5,12
194.0,165.0,12
49.0,168.5,12
39.0,171.5,12
42.0,175.0,12
50.0,178.0,12
54.0,181.5,12
55.0,184.5,12
55.0,188.0,12
57.0,191.0,12
95.0,194.5,12
683.0,221.0,12
704.0,224.5,12
734.0,227.5,12
742.0,231.0,12
745.0,234.5,12
746.0,237.5,12
741.0,241.0,12
723.0,244.5,12
700.0,247.5,12
681.0,251.0,12
665.0,254.0,12
652.0,257.5,12
641.0,261.0,12
632.0,264.0,12
626.0,267.5,12
623.0,271.0,12
620.0,274.0,12
620.0,277.5,12
624.0,280.5,12
630.0,284.0,12
602.0,287.5,12
586.0,290.5,12
596.0,294.0,12
609.0,297.5,12
668.0,300.5,12
708.0,304.0,12
734.0,307.0,12
698.0,310.5,12
119.0,314.0,12
85.0,317.0,12
81.0,320.5,12
77.0,324.0,12
73.0,327.0,12
70.0,330.5,12
67.0,333.5,12
64.0,337.0,12
62.0,340.5,12
60.0,343.5,12
59.0,347.0,12
58.0,350.5,12
57.0,353.5,12
57.0,357.0,12
57.0,2.5,14
57.0,5.5,14
58.0,9.0,14
59.0,12.5,14
60.0,15.5,14
61.0,19.0,14
63.0,22.5,14
65.0,25.5,14
68.0,29.0,14
71.0,32.0,14
75.0,35.5,14
79.0,39.0,14
82.0,42.0,14
88.0,45.5,14
85.0,48.5,14
82.0,52.0,14
79.0,55.5,14
77.0,58.5,14
76.0,62.0,14
74.0,65.0,14
73.0,68.5,14
72.0,72.0,14
71.0,75.0,14
71.0,78.5,14
71.0,81.5,14
71.0,84.0,14
71.0,86.5,14
72.0,89.5,14
73.0,92.5,14
73.0,96.0,14
75.0,99.0,14
76.0,102.5,14
78.0,105.5,14
80.0,109.0,14
83.0,112.5,14
86.0,115.5,14
88.0,119.0,14
92.0,122.0,14
108.0,125.5,14
184.0,129.0,14
258.0,132.0,14
271.0,135.0,14
292.0,138.5,14
314.0,141.5,14
340.0,145.0,14
367.0,148.0,14
408.0,151.5,14
458.0,154.5,14
497.0,158.0,14
254.0,161.0,14
55.0,164.0,14
47.0,167.5,14
52.0,170.5,14
53.0,174.0,14
54.0,177.0,14
54.0,180.5,14
55.0,183.5,14
53.0,187.0,14
632.0,202.5,14
645.0,206.0,14
648.0,209.0,14
651.0,212.5,14
658.0,215.5,14
658.0,219.0,14
655.0,222.0,14
654.0,225.5,14
652.0,228.5,14
652.0,232.0,14
656.0,235.0,14
655.0,238.0,14
652.0,241.5,14
654.0,244.5,14
655.0,248.0,14
654.0,251.0,14
647.0,254.5,14
641.0,257.5,14
635.0,261.0,14
631.0,264.0,14
628.0,267.0,14
627.0,270.5,14
629.0,273.5,14
632.0,277.0,14
635.0,280.0,14
597.0,283.5,14
596.0,286.5,14
609.0,290.0,14
633.0,293.0,14
684.0,296.5,14
683.0,299.5,14
633.0,302.5,14
441.0,306.0,14
96.0,309.0,14
86.0,312.5,14
81.0,315.5,14
77.0,319.0,14
74.0,322.5,14
70.0,325.5,14
67.0,329.0,14
64.0,332.5,14
62.0,335.5,14
60.0,339.0,14
59.0,342.0,14
58.0,345.5,14
58.0,349.0,14
57.0,352.0,14
57.0,355.5,14
57.0,359.0,14
57.0,359.5,14
56.0,360.0,14
57.0,0.0,16
