Distance_cm,Azimuth_deg,Elevation_deg
305.0,0.0,0
276.1,0.5,0
259.0,1.0,0
259.0,1.5,0
259.0,2.0,0
259.0,2.5,0
259.0,3.0,0
259.0,3.5,0
259.0,4.0,0
256.0,5.5,0
254.0,9.0,0
255.0,12.0,0
256.0,15.5,0
257.0,18.5,0
259.0,22.0,0
263.0,25.0,0
266.0,27.5,0
217.0,31.0,0
103.0,34.0,0
97.0,37.5,0
99.0,40.5,0
98.0,44.0,0
104.0,47.0,0
109.0,50.5,0
165.0,53.5,0
309.0,56.5,0
327.0,59.5,0
342.0,63.0,0
332.0,66.0,0
316.0,69.5,0
320.0,72.5,0
181.0,76.0,0
34.0,79.0,0
32.0,82.5,0
33.0,85.5,0
40.0,88.5,0
39.0,92.0,0
34.0,95.5,0
61.0,99.0,0
90.0,102.0,0
92.0,105.5,0
91.0,109.0,0
6.0,112.0,0
20.0,115.5,0
47.0,118.5,0
43.0,122.0,0
41.0,125.5,0
42.0,128.5,0
39.0,132.0,0
55.0,135.5,0
97.0,138.5,0
90.0,142.0,0
84.0,145.5,0
80.0,148.5,0
60.0,152.0,0
53.0,155.0,0
110.0,158.5,0
121.0,162.0,0
119.0,165.0,0
115.0,168.5,0
337.0,172.0,0
548.0,175.0,0
555.0,178.5,0
549.0,181.5,0
542.0,185.0,0
538.0,188.5,0
536.0,191.5,0
536.0,195.0,0
537.0,198.0,0
540.0,201.5,0
544.0,204.5,0
383.0,207.5,0
243.0,211.0,0
253.0,214.0,0
308.0,217.0,0
302.0,220.5,0
328.0,223.5,0
340.0,233.0,0
383.0,236.5,0
376.0,239.5,0
566.0,243.0,0
617.0,246.5,0
1004.0,276.0,0
443.0,286.5,0
389.0,289.5,0
301.0,293.0,0
255.0,296.5,0
234.0,299.5,0
232.0,303.0,0
246.0,306.0,0
353.0,309.5,0
291.0,313.0,0
269.0,316.0,0
270.0,319.5,0
279.0,322.5,0
368.0,326.0,0
362.0,329.0,0
343.0,332.5,0
326.0,335.5,0
313.0,339.0,0
301.0,342.0,0
291.0,345.5,0
283.0,349.0,0
276.0,352.0,0
270.0,355.5,0
264.0,358.5,0
256.0,1.5,2
254.0,4.5,2
255.0,8.0,2
256.0,11.0,2
257.0,14.5,2
260.0,18.0,2
263.0,21.0,2
264.0,24.5,2
195.0,27.5,2
102.0,31.0,2
102.0,34.5,2
100.0,37.5,2
103.0,41.0,2
112.0,44.0,2
124.0,47.5,2
316.0,51.0,2
323.0,54.0,2
343.0,57.5,2
332.0,60.5,2
323.0,64.0,2
112.0,71.0,2
24.0,74.5,2
26.0,77.5,2
34.0,81.0,2
40.0,84.0,2
40.0,87.5,2
35.0,90.5,2
69.0,94.0,2
133.0,97.0,2
65.0,100.0,2
118.0,107.5,2
26.0,110.5,2
47.0,114.0,2
42.0,117.0,2
38.0,120.5,2
39.0,123.5,2
40.0,127.0,2
56.0,130.5,2
96.0,133.5,2
91.0,137.0,2
83.0,140.0,2
78.0,143.5,2
61.0,147.0,2
55.0,150.0,2
111.0,153.5,2
126.0,156.5,2
124.0,160.0,2
129.0,163.0,2
311.0,166.5,2
556.0,170.0,2
557.0,173.0,2
550.0,176.5,2
544.0,179.5,2
540.0,183.0,2
537.0,186.0,2
537.0,189.5,2
539.0,193.0,2
541.0,196.0,2
541.0,199.5,2
482.0,202.5,2
248.0,206.0,2
283.0,209.0,2
440.0,212.5,2
459.0,215.5,2
504.0,219.0,2
