Phase_deg,Time_s,Placeholder
0.0,1755602150.97,0
-3.2740198866567534,1755602151.19,0
-19.61433014238483,1755602152.18,0
-22.965327701037957,1755602152.39,0
-39.04317267385174,1755602152.96,0
-39.045504100252124,1755602153.53,0
-58.63935440484228,1755602153.7,0
-66.39294370014588,1755602154.74,0
-70.58061493175222,1755602155.15,0
-73.14401244251064,1755602155.33,0
-77.24918051430072,1755602155.63,0
-79.29715856828493,1755602155.86,0
-83.96572153901752,1755602155.95,0
-86.05695213390125,1755602156.04,0
-89.25568563138907,1755602156.31,0
-92.8896429675436,1755602156.51,0
-94.03492641804604,1755602156.73,0
-96.49887939927204,1755602156.79,0
-98.76403029477444,1755602156.84,0
-99.43421504370502,1755602156.96,0
-101.68544441587282,1755602157.04,0
-103.62439877508622,1755602157.1,0
-103.73447794567092,1755602157.23,0
-106.19794119264307,1755602157.36,0
-106.27839302487803,1755602157.48,0
-108.2799106142463,1755602157.64,0
-107.96836641516737,1755602157.72,0
-109.66220501121833,1755602157.8,0
-110.63071853049121,1755602157.86,0
-111.60724241283094,1755602157.93,0
-114.04648668068863,1755602158.0,0
-116.67270690204532,1755602158.06,0
-118.52514577600473,1755602158.12,0
-119.74420571300445,1755602158.17,0
-120.70776743694529,1755602158.24,0
-123.25788347408488,1755602158.33,0
-124.16250891297076,1755602158.54,0
-128.17625007703558,1755602158.74,0
-127.94238109737404,1755602158.88,0
-129.9179127929741,1755602158.94,0
-130.65569586913367,1755602159.04,0
-132.60490289324161,1755602159.18,0
-134.66426436296294,1755602159.25,0
-136.3303347823645,1755602159.43,0
-139.39706137001238,1755602159.5,0
-141.2721107481,1755602159.56,0
-142.79273417723738,1755602159.63,0
-145.08052976271426,1755602159.7,0
-147.043039357365,1755602159.76,0
