Distance_cm,Azimuth_deg,Elevation_deg
99.0,0.0,0
97.6,0.5,0
97.0,1.0,0
97.0,1.5,0
97.0,2.0,0
97.0,2.5,0
97.0,3.0,0
97.0,3.5,0
99.5,4.0,0
110.0,7.5,0
120.0,11.0,0
132.0,14.0,0
148.0,17.5,0
161.0,21.0,0
552.0,24.0,0
890.0,27.5,0
985.0,31.0,0
1006.0,34.0,0
1020.0,37.5,0
1038.0,40.5,0
1037.0,43.5,0
1056.0,52.5,0
1071.0,55.5,0
1087.0,58.5,0
1023.0,61.5,0
945.0,64.5,0
882.0,67.5,0
835.0,70.5,0
794.0,73.5,0
745.0,76.5,0
567.0,80.0,0
688.0,83.0,0
672.0,86.5,0
608.0,89.5,0
583.0,93.0,0
515.0,96.0,0
486.0,99.0,0
589.0,101.0,0
603.0,103.5,0
602.0,106.5,0
598.0,109.5,0
594.0,112.0,0
216.0,115.0,0
289.0,118.5,0
584.0,121.5,0
603.0,124.5,0
357.0,128.0,0
52.0,131.5,0
28.0,134.5,0
23.0,137.5,0
23.0,140.5,0
24.0,144.0,0
25.0,147.0,0
26.0,150.0,0
69.0,153.0,0
143.0,157.0,0
105.0,160.0,0
97.0,163.0,0
500.0,166.5,0
628.0,169.5,0
112.0,181.0,0
102.0,183.5,0
836.0,187.0,0
119.0,205.5,0
107.0,209.0,0
113.0,212.0,0
273.0,215.5,0
406.0,218.5,0
463.0,222.0,0
496.0,225.0,0
490.0,228.0,0
433.0,231.5,0
386.0,234.5,0
307.0,238.0,0
110.0,241.5,0
90.0,244.5,0
83.0,248.0,0
82.0,251.0,0
81.0,254.5,0
79.0,257.5,0
94.0,261.0,0
209.0,264.5,0
210.0,267.5,0
188.0,271.0,0
144.0,274.0,0
139.0,277.5,0
137.0,281.0,0
135.0,284.0,0
134.0,287.5,0
133.0,290.5,0
133.0,294.0,0
133.0,297.5,0
134.0,300.5,0
135.0,304.0,0
137.0,307.5,0
139.0,310.5,0
142.0,314.0,0
145.0,317.0,0
149.0,320.5,0
163.0,324.0,0
222.0,327.0,0
240.0,330.5,0
235.0,333.5,0
85.0,337.0,0
75.0,340.5,0
77.0,343.5,0
79.0,347.0,0
82.0,350.5,0
86.0,353.5,0
90.0,356.5,0
95.0,359.5,0
110.0,0.5,2
119.0,4.0,2
128.0,7.5,2
143.0,10.5,2
181.0,14.0,2
614.0,17.0,2
977.0,20.0,2
999.0,23.0,2
1011.0,26.0,2
1026.0,29.5,2
1039.0,32.5,2
1040.0,36.0,2
1059.0,45.5,2
1061.0,48.5,2
1049.0,52.0,2
997.0,55.0,2
926.0,58.5,2
875.0,61.5,2
832.0,65.0,2
792.0,68.0,2
749.0,71.5,2
621.0,74.5,2
693.0,77.5,2
672.0,81.0,2
611.0,84.0,2
583.0,87.5,2
567.0,90.5,2
476.0,94.0,2
583.0,97.0,2
603.0,100.5,2
597.0,103.5,2
578.0,107.0,2
251.0,110.0,2
316.0,113.5,2
599.0,116.5,2
589.0,119.5,2
292.0,123.0,2
34.0,126.0,2
27.0,129.5,2
23.0,132.5,2
23.0,136.0,2
24.0,139.0,2
25.0,142.0,2
27.0,145.5,2
43.0,148.5,2
100.0,152.0,2
181.0,155.5,2
358.0,158.5,2
640.0,161.5,2
127.0,174.5,2
268.0,178.0,2
224.0,197.5,2
109.0,200.5,2
106.0,203.5,2
121.0,207.0,2
308.0,210.0,2
491.0,213.5,2
501.0,217.0,2
500.0,220.0,2
480.0,223.5,2
420.0,226.5,2
356.0,230.0,2
113.0,233.5,2
90.0,236.5,2
84.0,240.0,2
81.0,243.5,2
81.0,246.5,2
81.0,250.0,2
87.0,253.0,2
161.0,256.5,2
216.0,259.5,2
209.0,263.0,2
178.0,266.0,2
142.0,269.5,2
139.0,273.0,2
137.0,276.0,2
135.0,279.5,2
134.0,282.5,2
134.0,286.0,2
133.0,289.5,2
134.0,292.5,2
134.0,296.0,2
136.0,299.0,2
138.0,302.5,2
140.0,305.5,2
143.0,309.0,2
147.0,312.5,2
152.0,315.5,2
179.0,319.0,2
231.0,322.5,2
241.0,325.5,2
201.0,329.0,2
73.0,332.0,2
75.0,335.5,2
77.0,339.0,2
80.0,342.0,2
83.0,345.5,2
87.0,348.5,2
91.0,352.0,2
97.0,355.5,2
101.0,358.5,2
101.0,359.0,2
101.0,359.5,2
100.8,360.0,2
101.2,0.0,4
101.0,0.5,4
101.0,1.0,4
101.0,1.5,4
107.0,5.0,4
116.0,8.0,4
128.0,11.5,4
142.0,14.5,4
160.0,18.0,4
342.0,21.5,4
888.0,24.5,4
956.0,28.0,4
958.0,31.5,4
1039.0,41.0,4
1073.0,44.5,4
1089.0,48.0,4
1076.0,51.0,4
1085.0,54.5,4
1073.0,57.5,4
1003.0,60.5,4
933.0,63.5,4
872.0,66.5,4
825.0,70.0,4
781.0,73.0,4
747.0,76.5,4
717.0,79.5,4
691.0,83.0,4
646.0,86.5,4
594.0,89.5,4
579.0,93.0,4
568.0,96.0,4
578.0,98.5,4
606.0,101.5,4
605.0,105.0,4
601.0,108.5,4
594.0,111.5,4
135.0,115.0,4
536.0,118.5,4
601.0,121.5,4
600.0,125.0,4
66.0,128.0,4
32.0,131.5,4
24.0,135.0,4
23.0,138.0,4
23.0,140.0,4
24.0,143.0,4
58.0,153.5,4
76.0,155.5,4
82.0,159.0,4
149.0,162.5,4
629.0,165.5,4
643.0,169.0,4
74.0,179.0,4
101.0,182.5,4
121.0,202.5,4
